op_name,tensor_idx,num_elements,stddev,mean_error,max_abs_error,mean_squared_error,scale,zero_point,tensor_name,rmse_per_scale
DEPTHWISE_CONV_2D,1064,56448.0,0.082200184,0.00010587472,0.24408,0.0067570196,0.28190777,-43,model/tf.math.add_73/Add;model/tf.compat.v1.nn.depthwise_conv2d_12/depthwise;Const_411,0.29158860165564615
LOGISTIC,608,10.0,0.0010409737,-0.00023703928,0.0018217403,1.2971303e-06,0.00390625,-128,model/tf.math.sigmoid_18/Sigmoid,0.291562568483679
CONV_2D,1232,56448.0,0.0362921,-8.163018e-06,0.115070865,0.0013171509,0.124643646,9,model/tf.math.add_93/Add;model/tf.nn.convolution_60/convolution;Const_131,0.2911706676207795
DEPTHWISE_CONV_2D,1184,56448.0,0.08426108,0.0001720013,0.23068419,0.007100104,0.2895157,-41,model/tf.math.add_87/Add;model/tf.compat.v1.nn.depthwise_conv2d_14/depthwise;Const_211,0.2910450619982473
MEAN,1300,1280.0,0.008193092,0.00020384762,0.026610075,6.7254674e-05,0.028188737,-119,model/tf.math.reduce_mean_16/Mean,0.2909280648965052
CONV_2D,1112,56448.0,0.046988808,-0.00017342629,0.11980059,0.0022080299,0.16151659,25,model/tf.math.add_79/Add;model/tf.nn.convolution_52/convolution;Const_331,0.2909278771545029
LOGISTIC,620,240.0,0.0011336291,7.387403e-06,0.0019441929,1.2911923e-06,0.00390625,-128,model/tf.math.sigmoid_19/Sigmoid,0.2908944457579072
DEPTHWISE_CONV_2D,884,131712.0,0.11100668,-0.0003334582,0.39197183,0.012322715,0.3817658,-57,model/tf.math.add_54/Add;model/tf.compat.v1.nn.depthwise_conv2d_9/depthwise;Const_721,0.2907744092226678
CONV_2D,1288,62720.0,0.10046508,-7.884067e-05,0.25522542,0.010093486,0.34552506,-2,model/tf.math.add_98/Add;model/tf.nn.convolution_64/convolution;Const_31,0.29076427227243906
CONV_2D,984,21952.0,0.114360936,0.0007097034,0.26671398,0.013079681,0.39335886,8,model/tf.math.add_64/Add;model/tf.nn.convolution_43/convolution;Const_561,0.29074324908428
CONV_2D,628,31360.0,0.28803754,-0.004096412,0.6571871,0.08298585,0.9917767,-38,model/tf.math.add_26/Add;model/tf.nn.convolution_19/convolution;Const_1171,0.29046119664587927
CONV_2D,1104,9408.0,0.11050326,0.000409315,0.24670568,0.012212732,0.3805432,-12,model/tf.math.add_76/Add;model/tf.nn.convolution_51/convolution;Const_351,0.29040390210247874
DEPTHWISE_CONV_2D,944,131712.0,0.108801275,-2.8895629e-05,0.29841024,0.011837828,0.37465975,-40,model/tf.math.add_61/Add;model/tf.compat.v1.nn.depthwise_conv2d_10/depthwise;Const_621,0.2904015792292188
LOGISTIC,1084,48.0,0.0011208951,-6.138807e-06,0.0019440851,1.2865345e-06,0.00390625,-128,model/tf.math.sigmoid_50/Sigmoid,0.2903692907178719
DEPTHWISE_CONV_2D,1124,56448.0,0.102266274,-0.00013012238,0.24307054,0.010458621,0.35225937,-33,model/tf.math.add_80/Add;model/tf.compat.v1.nn.depthwise_conv2d_13/depthwise;Const_311,0.2903184647652995
LOGISTIC,1096,1152.0,0.0011301355,-8.184613e-05,0.0019304956,1.2852703e-06,0.00390625,-128,model/tf.math.sigmoid_51/Sigmoid,0.2902265914433066
DEPTHWISE_CONV_2D,708,94080.0,0.16670899,0.0023630918,0.44004416,0.027797922,0.57478845,-32,model/tf.math.add_35/Add;model/tf.compat.v1.nn.depthwise_conv2d_6/depthwise;Const_1021,0.29006687309214835
ADD,812,15680.0,0.13203357,7.582798e-05,0.25125644,0.017434513,0.45537108,23,model/tf.math.add_47/Add,0.2899609170717009
MEAN,600,240.0,0.005865135,-3.5006997e-05,0.010098636,3.4555498e-05,0.020275958,-115,model/tf.math.reduce_mean_4/Mean,0.28991934523306984
CONV_2D,1172,56448.0,0.05642777,-0.0002551575,0.13836427,0.0031842238,0.19466831,27,model/tf.math.add_86/Add;model/tf.nn.convolution_56/convolution;Const_231,0.2898721778546717
LOGISTIC,444,96.0,0.001115792,0.00015641452,0.0019352988,1.2811034e-06,0.00390625,-128,model/tf.math.sigmoid_7/Sigmoid,0.2897557461421602
DEPTHWISE_CONV_2D,768,94080.0,0.16274023,-0.0010252232,0.5742772,0.026489465,0.56184685,-41,model/tf.math.add_42/Add;model/tf.compat.v1.nn.depthwise_conv2d_7/depthwise;Const_921,0.28968008764153624
MEAN,896,672.0,0.0090556275,2.0308287e-05,0.01768192,8.2169216e-05,0.031293426,-120,model/tf.math.reduce_mean_9/Mean,0.2896686260361764
MEAN,840,480.0,0.0063332333,1.8356519e-05,0.010935961,4.0211446e-05,0.02191105,-116,model/tf.math.reduce_mean_8/Mean,0.28940874861786603
